Team,winning_percentage,Season
LAR,0.25,2016
MIA,0.625,2016
MIN,0.5,2016
NE,0.875,2016
NO,0.4375,2016
NYG,0.6875,2016
NYJ,0.3125,2016
OAK,0.75,2016
PHI,0.4375,2016
PIT,0.6875,2016
SEA,0.65625,2016
SF,0.125,2016
TB,0.5625,2016
TEN,0.5625,2016
WAS,0.53125,2016
ARI,0.5,2017
ATL,0.625,2017
BAL,0.5625,2017
BUF,0.5625,2017
CAR,0.6875,2017
CHI,0.3125,2017
CIN,0.4375,2017
CLE,0,2017
DAL,0.5625,2017
DEN,0.3125,2017
DET,0.5625,2017
GB,0.4375,2017
HOU,0.25,2017
IND,0.25,2017
JAX,0.625,2017
KC,0.625,2017
LAC,0.5625,2017
LAR,0.6875,2017
MIA,0.375,2017
MIN,0.8125,2017
NE,0.8125,2017
NO,0.6875,2017
NYG,0.1875,2017
NYJ,0.3125,2017
OAK,0.375,2017
PHI,0.8125,2017
PIT,0.8125,2017
SEA,0.5625,2017
SF,0.375,2017
TB,0.3125,2017
TEN,0.5625,2017
WAS,0.4375,2017
ARI,0.1875,2018
ATL,0.4375,2018
BAL,0.625,2018
BUF,0.375,2018
CAR,0.4375,2018
CHI,0.75,2018
CIN,0.375,2018
CLE,0.46875,2018
DAL,0.625,2018
DEN,0.375,2018
DET,0.375,2018
GB,0.40625,2018
HOU,0.6875,2018
IND,0.625,2018
JAX,0.3125,2018
KC,0.75,2018
LAC,0.75,2018
LAR,0.8125,2018
MIA,0.4375,2018
MIN,0.53125,2018
NE,0.6875,2018
NO,0.8125,2018
NYG,0.3125,2018
NYJ,0.25,2018
OAK,0.25,2018
PHI,0.5625,2018
PIT,0.59375,2018
SEA,0.625,2018
SF,0.25,2018
TB,0.3125,2018
TEN,0.5625,2018
WAS,0.4375,2018
ARI,0.34375,2019
ATL,0.4375,2019
BAL,0.875,2019
BUF,0.625,2019
CAR,0.3125,2019
CHI,0.5,2019
CIN,0.125,2019
CLE,0.375,2019
DAL,0.5,2019
DEN,0.4375,2019
DET,0.21875,2019
GB,0.8125,2019
HOU,0.625,2019
IND,0.4375,2019
JAX,0.375,2019
KC,0.75,2019
LAC,0.3125,2019
LAR,0.5625,2019
MIA,0.3125,2019
MIN,0.625,2019
NE,0.75,2019
NO,0.8125,2019
NYG,0.25,2019
NYJ,0.4375,2019
OAK,0.4375,2019
PHI,0.5625,2019
PIT,0.5,2019
SEA,0.6875,2019
SF,0.8125,2019
TB,0.4375,2019
TEN,0.5625,2019
WAS,0.1875,2019
